number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.96145,1,0
2,-1,-99999,-1,0.99932,0,0
3,-1,0,-1,0.85259,1,0
4,800,-99999,45,0.69941,0,0.94814
5,0,-99999,-45,0.61342,0,0.82235
6,-1,0,-1,0.58479,0,0.84975
7,-1,-99999,-1,0.95924,0,0
8,800,-99999,0,0.59538,1,0.81227
9,-1,0,-1,0.55666,0,0
10,-1,0,-1,0.98869,1,0
11,-1,-99999,-1,1.102,1,0
12,-1,-99999,-1,0.74537,1,0
13,800,-99999,0,1.0212,0,1.1982
14,0,-99999,45,0.6852,1,0.81416
15,-1,0,-1,0.60661,1,0.86368
16,-1,-99999,-1,0.52111,1,0
17,0,-99999,-45,0.71723,0,0.93417
18,-1,-99999,-1,0.58713,1,0
19,800,-99999,0,0.67546,0,0.88408
20,-1,-99999,-1,0.53108,1,0
21,-1,0,-1,0.45259,1,0
22,800,-99999,0,0.53714,0,0.97818
23,0,0,0,0.4656,0,0.78664
24,-1,0,-1,0.43944,0,0
25,0,-99999,45,0.70204,1,0.87899
26,-1,0,-1,0.65124,0,0
27,-1,-99999,-1,0.56905,1,0
28,-1,-99999,-1,0.55504,1,0
29,-1,0,-1,0.62456,0,0
30,0,0,45,0.71867,1,0.94374
31,-1,-99999,-1,0.95701,1,0
32,0,0,-45,0.63705,1,0.86998
33,-1,-99999,-1,0.81503,1,0
34,0,-99999,0,0.80096,1,1.058
35,800,-99999,-45,0.29689,1,0.55382
36,-1,-99999,-1,0.56301,1,0
37,0,-99999,0,0.75894,0,0.93585
38,-1,-99999,-1,0.81892,1,0
39,0,-99999,0,0.62087,1,0.97398
40,-1,0,-1,0.47239,1,0
41,-1,-99999,-1,0.82859,0,0
42,-1,0,-1,1.1004,1,0
43,-1,-99999,-1,0.69086,1,0
44,-1,-99999,-1,0.56288,1,0
45,0,0,0,0.63688,1,0.91791
46,-1,-99999,-1,0.70083,0,0
47,-1,-99999,-1,0.97478,1,0
48,-1,-99999,-1,1.1348,1,0
49,0,0,45,0.72835,0,0.9454
50,-1,-99999,-1,0.78471,1,0
51,-1,-99999,-1,0.64472,1,0
52,-1,-99999,-1,0.79284,1,0
53,-1,-99999,-1,0.66086,0,0
54,0,0,-45,0.66202,1,0.84691
55,-1,-99999,-1,0.9048,0,0
56,0,0,0,0.68817,1,0.92911
57,-1,-99999,-1,0.95865,0,0
58,-1,-99999,-1,0.88174,0,0
59,-1,-99999,-1,0.79968,0,0
60,-1,0,-1,0.57317,1,0
61,-1,0,-1,0.79703,1,0
62,-1,-99999,-1,0.92962,1,0
63,-1,-99999,-1,0.60766,1,0
64,-1,-99999,-1,1.2748,1,0
65,-1,0,-1,0.85696,1,0
66,-1,-99999,-1,0.91856,1,0
67,0,-99999,0,0.68459,1,1.0055
68,800,-99999,-45,0.82462,0,0.98555
69,0,0,0,0.73058,1,1.5957
70,-1,0,-1,0.49401,1,0.75898
71,-1,0,-1,1.1779,1,0
72,800,-99999,45,0.60848,1,1.2017
1,-1,-99999,-1,1.9397,1,3.1248
2,-1,-99999,-1,0.8258,1,0
3,800,-99999,0,0.62985,1,0.84674
4,0,0,45,0.55781,0,0.75876
5,-1,-99999,-1,0.70581,1,0
6,-1,0,-1,1.1691,0,0
7,-1,-99999,-1,0.91372,1,0
8,-1,-99999,-1,0.89782,0,0
9,-1,-99999,-1,0.77367,0,0
10,-1,-99999,-1,0.56379,1,0
11,800,-99999,-45,0.64378,1,0.94884
12,800,-99999,-45,0.66376,1,1.0089
13,0,0,-45,0.83774,1,1.0547
14,0,0,0,0.60774,1,0.80864
15,-1,-99999,-1,0.49391,1,0
16,-1,-99999,-1,0.37168,1,0
17,0,-99999,0,0.58171,1,0.99077
18,-1,0,-1,0.58307,1,0
19,-1,0,-1,0.61499,0,0
20,0,0,0,0.85916,0,1.2602
21,0,-99999,0,0.48573,1,0.79867
22,0,0,0,0.60166,0,0.8586
23,-1,-99999,-1,0.95752,1,0
24,-1,-99999,-1,1.038,1,0
25,-1,0,-1,0.93892,1,0
26,0,0,45,0.77888,0,1.108
27,0,-99999,-45,0.61554,0,1.0326
28,-1,0,-1,0.47438,0,0
29,-1,0,-1,1.1289,0,0
30,-1,-99999,-1,1.2775,1,0
31,-1,-99999,-1,0.72752,1,0
32,-1,0,-1,0.5569,1,0
33,0,-99999,0,0.6255,1,0.85858
34,-1,-99999,-1,0.76543,1,0
35,0,-99999,45,0.5035,1,0.73641
36,-1,-99999,-1,0.78347,1,0
37,800,-99999,0,0.72136,0,0.94633
38,-1,0,-1,0.81869,1,0
39,800,-99999,45,0.5153,1,0.87639
40,-1,0,-1,0.66483,1,0
41,0,0,0,0.67858,1,0.92755
42,-1,-99999,-1,0.57224,1,0
43,-1,-99999,-1,0.60634,1,0
44,800,-99999,0,0.44037,1,0.72931
45,-1,-99999,-1,1.3503,1,0
46,-1,0,-1,0.69375,0,0
47,-1,-99999,-1,0.83304,1,0
48,-1,-99999,-1,1.0043,0,0
49,0,-99999,0,0.74985,1,0.94283
50,-1,-99999,-1,0.85827,1,0
51,-1,-99999,-1,1.0622,1,0
52,-1,-99999,-1,0.92622,1,0
53,-1,-99999,-1,0.99221,1,0
54,-1,0,-1,0.94368,1,0
55,-1,-99999,-1,0.90053,1,0
56,0,-99999,45,0.76406,1,0.92511
57,-1,-99999,-1,1.2622,0,0
58,-1,-99999,-1,0.79244,1,0
59,-1,0,-1,0.80961,0,0
60,-1,-99999,-1,0.93003,1,0
61,800,-99999,0,0.8102,1,1.0191
62,800,-99999,45,0.83015,0,1.0791
63,-1,-99999,-1,0.72419,1,0
64,-1,0,-1,0.55958,1,0
65,-1,-99999,-1,0.85817,1,0
66,0,0,-45,0.51161,1,0.76046
67,-1,0,-1,0.59142,1,0
68,-1,-99999,-1,0.94193,0,0
69,0,-99999,-45,0.58415,1,0.93714
70,-1,0,-1,0.54507,1,0
71,-1,-99999,-1,0.8541,1,0
72,-1,0,-1,0.68143,1,0
1,0,0,0,1.0064,1,1.2635
2,-1,-99999,-1,0.90509,1,0
3,-1,0,-1,0.51629,1,0
4,800,-99999,0,0.829,1,1.0382
5,-1,-99999,-1,0.69919,1,0
6,-1,-99999,-1,0,NaN,0
7,-1,-99999,-1,1.1591,1,0
8,800,-99999,-45,0.64708,1,0.84003
9,-1,-99999,-1,1.0071,0,0
10,-1,-99999,-1,0.66307,1,0
11,-1,-99999,-1,1.0491,1,0
12,-1,-99999,-1,0.73702,1,0
13,800,-99999,0,0.79099,0,1.0481
14,0,-99999,0,0.69704,1,0.91397
15,-1,-99999,-1,0.49708,1,0
16,-1,0,-1,0.44644,1,0
17,-1,-99999,-1,0.82897,1,0
18,0,-99999,0,0.729,1,1.4182
19,-1,-99999,-1,0.65093,0,0
20,-1,0,-1,1.1544,0,0
21,-1,-99999,-1,0.47645,1,0
22,0,-99999,-45,0.97895,1,1.244
23,-1,-99999,-1,0.95494,1,0
24,-1,-99999,-1,0.59684,1,0
25,800,-99999,0,0.68085,1,0.96183
26,-1,0,-1,0.76441,1,0
27,-1,-99999,-1,0.8548,1,0
28,0,0,-45,0.56482,1,0.82178
29,-1,-99999,-1,0.86679,1,0
30,800,-99999,0,0.71278,1,0.93773
31,0,0,-45,0.6143,1,0.79123
32,0,-99999,0,0.47475,1,0.66784
33,-1,-99999,-1,0.86675,1,0
34,-1,-99999,-1,0.56478,1,0
35,0,-99999,0,0.50677,1,0.79569
36,-1,0,-1,0.72791,1,0
37,-1,0,-1,0.86018,1,0
38,0,-99999,-45,0.58265,1,0.91974
39,0,-99999,45,0.50672,1,0.66764
40,-1,-99999,-1,0.68457,1,0
41,-1,0,-1,0.76219,1,0
42,-1,0,-1,0.54016,1,0
43,-1,-99999,-1,0.54257,1,0
44,-1,-99999,-1,0.49267,1,0
45,-1,0,-1,0.65414,1,0
46,-1,0,-1,0.86807,1,0
47,0,0,45,0.77407,1,0.97502
48,0,-99999,45,0.58452,1,0.76146
49,0,0,0,0.87465,1,1.0836
50,-1,-99999,-1,1.2706,0,0
51,-1,0,-1,0.65201,1,0
52,-1,-99999,-1,0.87762,1,0
53,0,0,45,0.8456,0,1.0707
54,-1,-99999,-1,0.67352,1,0
55,-1,-99999,-1,0.69445,0,0
56,800,-99999,-45,0.60255,1,0.96363
57,-1,-99999,-1,0.59466,1,0
58,800,-99999,45,0.97049,1,1.1395
59,0,0,0,0.7157,1,0.91689
60,0,0,0,0.6104,1,0.80336
61,-1,-99999,-1,0.46842,1,0.58938
62,-1,-99999,-1,1.2543,0,0
63,-1,0,-1,1.2758,0,0
64,800,-99999,45,0.48036,1,0.79343
65,-1,-99999,-1,0.65636,1,0
66,-1,0,-1,0.74184,1,0
67,-1,0,-1,1.0758,0,0
68,-1,0,-1,0.77586,1,0
69,-1,-99999,-1,0.8023,1,0
70,-1,-99999,-1,0.62037,1,0
71,-1,-99999,-1,0.97235,0,0
72,-1,0,-1,0.75171,0,0
1,0,-99999,-45,0.78042,1,1.0936
2,-1,-99999,-1,1.3745,1,0
3,800,-99999,0,0.78656,0,0.99549
4,-1,0,-1,0.77409,1,1.079
5,800,-99999,-45,0.68052,1,1.1216
6,-1,-99999,-1,0.84457,0,0
7,-1,-99999,-1,1.0825,1,0
8,800,-99999,45,0.7225,1,0.94743
9,-1,-99999,-1,0.83049,0,0
10,0,0,0,0.59451,1,0.77944
11,-1,0,-1,0.71594,1,0
12,0,-99999,45,0.50044,1,0.97327
13,-1,-99999,-1,0.85445,0,0
14,-1,-99999,-1,0.60049,1,0
15,-1,0,-1,0.44597,1,0
16,-1,-99999,-1,0.49239,1,0
17,-1,0,-1,1.0559,1,0
18,-1,-99999,-1,0.71047,1,0
19,0,-99999,45,1.0244,0,1.1933
20,0,0,-45,0.73982,0,0.89277
21,-1,0,-1,0.42188,1,0
22,-1,-99999,-1,1.1943,0,0
23,800,-99999,0,0.50037,1,0.93332
24,-1,0,-1,0.76983,1,0
25,-1,0,-1,0.89383,1,0
26,-1,-99999,-1,0.80825,1,0
27,-1,-99999,-1,0.67628,1,0
28,-1,-99999,-1,0.63828,1,0
29,-1,-99999,-1,0.85229,0,0
30,-1,0,-1,0.73375,1,0
31,0,-99999,0,0.62587,1,0.83478
32,-1,0,-1,0.7297,1,0
33,-1,-99999,-1,0.87421,1,0
34,0,0,45,0.72765,1,0.8726
35,800,-99999,45,0.92177,1,1.0507
36,-1,-99999,-1,0.68821,1,0
37,-1,-99999,-1,0.90627,0,0
38,-1,0,-1,0.58363,1,0
39,-1,-99999,-1,0.95809,1,0
40,0,-99999,0,0.57008,1,0.78702
41,800,-99999,0,0.68011,1,0.85708
42,0,0,0,0.58754,1,0.75651
43,-1,-99999,-1,0.4701,1,0
44,-1,-99999,-1,0.50614,1,0
45,0,0,45,0.56807,1,0.84104
46,-1,0,-1,0.64531,1,0
47,-1,-99999,-1,0.83195,1,0
48,-1,-99999,-1,0.65391,1,0
49,-1,0,-1,0.53947,1,0
50,-1,-99999,-1,0.288,0,0
51,-1,-99999,-1,0.65195,1,0
52,-1,-99999,-1,0.63389,0,0
53,-1,-99999,-1,0.64637,1,0
54,0,-99999,0,0.70163,1,0.83861
55,800,-99999,-45,0.52193,0,0.92293
56,-1,0,-1,0.53544,1,0
57,0,0,0,0.55592,1,0.73287
58,0,-99999,0,0.66795,1,0.83694
59,800,-99999,0,0.73991,1,0.88483
