number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.63808,0,0
2,0,-99999,-45,0.73098,1,1.6281
3,800,-99999,0,0.9528,1,1.5058
4,-1,0,-1,0.87507,1,0
5,-1,0,-1,0.9261,1,0
6,0,-99999,0,1.1102,1,1.3752
7,800,-99999,45,0.81527,0,0.45645
8,-1,-99999,-1,0.88359,1,1.2447
9,-1,0,-1,0.92967,1,0
10,-1,-99999,-1,0.69876,1,0
11,-1,0,-1,1.2919,1,0
12,-1,-99999,-1,0.95735,0,0
13,0,-99999,0,1.2971,1,1.0664
14,0,0,-45,0.8235,1,0.97642
15,0,0,45,1.237,1,0.89446
16,-1,0,-1,0.77354,0,0
17,-1,-99999,-1,1.0551,1,0
18,-1,-99999,-1,0.87762,1,0
19,0,0,-45,0.93228,1,0.4134
20,-1,0,-1,0.80802,1,0
21,800,-99999,0,1.0504,1,0.48348
22,-1,0,-1,0.67452,1,0
23,-1,0,-1,1.0151,1,0
24,800,-99999,0,1.2483,0,1.0015
25,0,-99999,-45,0.87724,1,0.67048
26,-1,-99999,-1,1.3614,1,0
27,0,-99999,0,0.80689,1,1.0238
28,-1,0,-1,0.9154,1,0
29,-1,0,-1,1.086,0,0
30,-1,-99999,-1,1.1055,1,0
31,-1,-99999,-1,0.88758,1,0
32,0,0,0,1.2074,1,0.94461
33,-1,-99999,-1,0.98817,1,0
34,-1,0,-1,0.65097,0,0
35,-1,-99999,-1,1.0006,1,0
36,0,-99999,45,1.1443,1,0.85765
37,-1,-99999,-1,1.1701,0,0
38,800,-99999,45,1.0343,1,0.77951
39,-1,-99999,-1,0.98645,1,0
40,800,-99999,-45,1.4034,0,0.76463
41,-1,-99999,-1,0.96763,0,0
42,-1,-99999,-1,0.74821,1,0
43,-1,-99999,-1,0.77281,1,0
44,-1,-99999,-1,0.8039,1,0
45,-1,-99999,-1,0.69312,1,0
46,-1,-99999,-1,0.85972,1,0
47,-1,0,-1,0.95778,0,0
48,-1,0,-1,1.5867,1,0
49,-1,-99999,-1,0.79315,1,0
50,-1,0,-1,0.59599,1,0
51,-1,-99999,-1,1.0944,0,0
52,-1,0,-1,1.279,1,0
53,-1,-99999,-1,0.69229,1,0
54,-1,-99999,-1,0.76486,1,0
55,0,-99999,45,1.4425,1,0.97159
