number,fading_function, soundOnset, LEDangle, LEDonset, reactionTime, correct, led_yes, answer-time_led, iscatchtrial, targetleftorright, match, idk
1,1000,-99999,-30,200,0,NaN,0,0,0,2,1,0
2,400,-99999,-60,800,0,NaN,0,0,1,1,1,0
3,800,-99999,30,200,0,NaN,0,0,0,2,1,0
4,0,-99999,-60,200,0,NaN,0,0,0,2,1,0
5,800,-200,-60,0,0,NaN,0,0,0,2,1,0
6,400,200,-60,0,0,NaN,0,0,0,2,1,0
7,400,-200,-60,0,0,NaN,0,0,0,1,1,0
8,0,200,60,0,0,NaN,0,0,1,1,1,0
9,400,-99999,-60,0,0,NaN,0,0,0,2,1,0
10,1000,0,0,0,0,NaN,0,0,0,1,1,0
11,0,-99999,-60,0,0,NaN,0,0,0,2,1,0
12,400,-99999,30,800,0,NaN,0,0,0,1,1,0
13,800,-99999,60,200,0,NaN,0,0,0,2,1,0
14,800,0,-30,0,0,NaN,0,0,1,2,1,0
15,400,-99999,-30,800,0,NaN,0,0,0,1,1,0
16,400,0,60,0,0,NaN,0,0,0,1,1,0
17,800,-99999,-60,400,0,NaN,0,0,0,2,1,0
18,1000,-99999,0,200,0,NaN,0,0,0,2,1,0
19,800,-200,30,0,0,NaN,0,0,0,1,1,0
20,800,0,0,0,0,NaN,0,0,0,1,1,0
21,800,0,60,0,0,NaN,0,0,0,2,1,0
22,800,200,-60,0,0,NaN,0,0,0,2,1,0
23,1000,0,30,0,0,NaN,0,0,0,2,1,0
24,400,-99999,60,400,0,NaN,0,0,0,2,1,0
25,0,-99999,0,400,0,NaN,0,0,0,2,1,0
26,0,-99999,-30,800,0,NaN,0,0,0,1,1,0
27,800,-200,60,0,0,NaN,0,0,0,2,1,0
28,800,-99999,0,400,0,NaN,0,0,0,2,1,0
29,400,-200,30,0,0,NaN,0,0,0,2,1,0
30,400,-99999,-30,400,0,NaN,0,0,0,1,1,0
31,0,-200,60,0,0,NaN,0,0,0,2,1,0
32,0,-99999,60,0,0,NaN,0,0,0,2,1,0
