number,fading_function, soundOnset, LEDangle, LEDonset, reactionTime, correct, led_yes, answer-time_led, iscatchtrial, idk
1,800,-200,30,0,2.0359,1,1,2.3636,0,0
2,1000,-200,-30,0,2.1383,1,1,2.4112,0,0
3,1000,-99999,-60,800,1.2275,1,1,2.6281,0,0
4,0,-99999,-60,200,3.0715,NaN,1,3.7115,0,1
5,800,-200,-30,0,1.4806,1,1,1.8575,0,0
6,0,-99999,0,0,0.96771,1,1,1.2646,0,0
7,800,-99999,30,200,1.1702,1,1,1.4672,0,0
8,400,-99999,60,200,1.7917,1,1,2.1447,0,0
9,1000,-200,-60,0,1.1136,1,1,1.4186,0,0
10,1000,200,60,0,1.9945,NaN,1,2.2593,0,1
11,800,-99999,-30,400,1.4459,1,1,1.7588,0,0
12,1000,-99999,0,800,1.1325,1,1,1.4774,0,0
13,800,200,-30,0,1.1915,1,1,1.4805,0,0
14,800,-99999,-60,200,1.0669,1,1,1.0669,1,0
15,400,-99999,60,0,1.8169,NaN,1,1.9856,0,1
16,0,-99999,60,800,1.5106,1,1,1.5106,1,0
17,1000,-200,60,0,1.2647,1,1,1.7534,0,0
18,0,-99999,0,200,1.0147,1,1,1.3356,0,0
19,0,-99999,60,200,0.89073,1,1,1.1075,0,0
20,400,200,30,0,0.91119,1,1,1.2882,0,0
21,0,-200,0,0,1.7518,1,1,2.1608,0,0
22,0,-99999,-60,0,0.91728,1,1,2.3904,0,0
23,400,-99999,-60,400,1.8779,1,1,3.0629,0,0
24,0,-200,60,0,1.764,NaN,1,2.0208,0,1
25,800,0,60,0,2.0728,1,1,2.4178,0,0
26,800,-99999,-60,800,1.2017,1,1,2.0267,0,0
27,0,200,0,0,1.8928,1,1,2.1576,0,0
28,0,-99999,60,400,1.068,1,1,1.3732,0,0
29,0,-99999,-60,800,1.141,1,1,1.9259,0,0
30,400,0,60,0,1.5745,1,1,2.0153,0,0
31,800,-99999,60,0,0.97164,1,1,1.7166,0,0
32,400,0,30,0,0.80793,1,1,1.4248,0,0
33,0,0,0,0,1.1601,1,1,1.5132,0,0
34,800,200,-60,0,1.672,1,1,1.9689,0,0
35,1000,0,30,0,1.7652,1,1,2.0782,0,0
36,400,-99999,-30,200,0.93505,1,1,1.232,0,0
37,1000,-99999,30,800,0.90608,1,1,1.4033,0,0
38,800,200,0,0,2.356,NaN,1,2.6608,0,1
39,400,200,-30,0,4.4764,1,1,3.5734,0,0
40,800,-200,-60,0,0.81031,1,1,1.3392,0,0
41,1000,200,30,0,1.858,NaN,1,1.858,1,1
42,400,0,-30,0,1.4108,1,1,1.6597,0,0
43,800,-99999,0,0,0.88805,1,1,1.2171,0,0
44,400,-99999,30,0,1.0641,1,1,1.3449,0,0
45,800,-200,60,0,0.74371,1,1,1.0727,0,0
46,800,-200,0,0,1.1641,0,1,1.565,0,0
47,800,200,60,0,0.81754,1,1,1.1145,0,0
48,0,-99999,30,200,0.63408,1,1,0.93924,0,0
49,1000,200,-60,0,0.78361,1,1,1.1285,0,0
50,400,-200,0,0,1.9572,1,1,1.9572,1,0
51,0,200,30,0,0.96884,1,1,1.1937,0,0
52,400,0,-60,0,0.76792,1,1,1.0409,0,0
53,800,-99999,-60,0,1.4001,1,1,1.6649,0,0
54,800,-99999,30,400,0.84642,1,1,1.1273,0,0
55,0,-99999,-30,200,0.85346,1,1,1.1182,0,0
56,1000,-99999,-60,200,0.68424,1,1,1.2452,0,0
57,0,200,-60,0,0.74562,1,1,1.0026,0,0
58,1000,0,60,0,0.98593,0,1,1.2508,0,0
59,400,0,0,0,2.2309,1,1,2.464,0,0
60,800,-99999,0,800,1.9213,1,1,1.9213,1,0
61,400,-200,30,0,0.82826,1,1,1.1492,0,0
62,0,-99999,-60,400,0.77715,1,1,2.0101,0,0
63,1000,-99999,60,200,1.7448,0,1,2.1218,0,0
64,400,-99999,-30,0,1.2715,0,1,1.8725,0,0
65,0,-99999,30,800,2.333,1,1,2.8696,0,0
66,1000,-99999,30,200,1.0451,1,1,1.4941,0,0
67,400,-200,60,0,0.82002,1,1,1.125,0,0
68,1000,-99999,60,0,0.71042,1,1,1.0154,0,0
69,800,-99999,60,200,0.81598,1,1,1.0889,0,0
70,1000,-99999,0,400,0.89044,1,1,1.139,0,0
71,800,-99999,0,400,0.76642,1,1,1.0474,0,0
72,400,-200,-30,0,0.68625,1,1,1.0792,0,0
73,1000,-99999,-30,0,0.76912,1,1,1.0261,0,0
74,800,0,-30,0,0.64191,1,1,0.89889,0,0
75,1000,-99999,0,0,1.4459,1,1,1.6788,0,0
76,400,-99999,60,400,1.1875,1,1,1.4444,0,0
77,400,-99999,-60,200,1.3136,0,1,1.9225,0,0
78,0,-99999,-30,800,0.86558,1,1,0.86558,1,0
79,1000,200,0,0,2.2871,NaN,1,1.9843,0,1
80,1000,-99999,0,200,1.4172,0,1,1.9462,0,0
81,1000,-200,0,0,0.72698,1,1,1.1279,0,0
82,0,0,-60,0,1.7694,1,1,1.7694,1,0
83,0,-99999,0,400,0.76679,1,1,1.1997,0,0
84,0,-99999,-30,400,0.72435,1,1,0.98118,0,0
85,1000,-99999,30,400,0.96183,1,1,1.2428,0,0
86,1000,-99999,-30,800,0.62502,1,1,1.1859,0,0
87,1000,-99999,-60,400,0.82383,1,1,1.1848,0,0
88,800,-99999,60,800,0.7223,1,1,1.2033,0,0
89,800,-99999,-60,400,0.67395,1,1,1.0189,0,0
90,0,-200,-60,0,0.65135,1,1,0.94029,0,0
91,1000,-99999,-60,0,0.69137,1,1,0.99633,0,0
92,800,0,0,0,1.337,1,1,1.5781,0,0
93,1000,-99999,30,0,2.1387,1,1,2.1387,1,0
94,400,-99999,0,200,0.81173,1,1,1.0927,0,0
95,800,-99999,0,200,0.81795,1,1,1.0829,0,0
96,1000,0,-30,0,1.103,1,1,1.344,0,0
97,400,-99999,30,800,1.2367,1,1,1.4055,0,0
98,800,-99999,30,800,1.0385,1,1,1.5596,0,0
99,0,-200,30,0,0.94335,1,1,0.94335,1,0
100,1000,0,-60,0,0.87147,1,1,1.1043,0,0
101,400,-200,-60,0,0.9137,1,1,1.1385,0,0
102,400,-99999,30,200,0.79797,1,1,1.0549,0,0
103,1000,-200,30,0,0.74472,1,1,1.0097,0,0
104,400,-99999,-60,0,0.83874,1,1,1.1357,0,0
105,0,200,-30,0,0.75626,1,1,1.0212,0,0
106,1000,0,0,0,0.69853,1,1,0.9235,0,0
107,400,-99999,0,800,0.74225,1,1,1.2553,0,0
108,0,200,60,0,1.2918,0,1,1.6208,0,0
109,800,-99999,30,0,0.91822,1,1,1.2472,0,0
110,400,-99999,60,800,0.97494,1,1,2.7762,0,0
111,400,-99999,30,400,0.88338,1,1,1.4043,0,0
112,1000,200,-30,0,1.1576,1,1,1.2864,0,0
113,0,0,-30,0,2.1519,1,1,2.1519,1,0
114,800,-99999,-30,0,0.79637,1,1,1.1333,0,0
115,400,-99999,-30,400,0.80428,1,1,1.0769,0,0
116,1000,-99999,60,800,0.8056,1,1,1.4066,0,0
117,0,-99999,-30,0,0.74828,1,1,1.0853,0,0
118,0,0,60,0,1.9989,NaN,1,3.1198,0,1
119,400,200,-60,0,0.64826,1,1,0.96926,0,0
120,800,0,30,0,0.66964,1,1,0.86245,0,0
121,1000,-99999,-30,200,0.84797,1,1,1.1527,0,0
122,0,-99999,30,400,0.83238,1,1,1.1534,0,0
123,400,200,60,0,1.8879,NaN,1,2.0967,0,1
124,1000,-99999,-30,400,1.1049,1,1,1.1049,1,0
125,800,-99999,60,400,0.69688,1,1,2.4179,0,0
126,0,-200,-30,0,1.8939,1,1,1.8939,1,0
