  dataset        a        v       t0      szr       sv      st0        p  penalty      fit     time   method
 subj1.800   0.8128   1.5737   0.5774   0.2852   0.3720   0.1175   0.4060   0.0000   1.0000   1.5770       KS
 subj10.800   1.4434   0.5604   1.4870   0.0927   0.1447   1.1663   0.0827   0.0000   0.9963  11.1510       KS
 subj11.800   0.8905   0.6568   0.5159   0.2621   0.6154   0.2294   0.0003   0.0000   0.9945   2.5560       KS
 subj12.800   0.9025   0.3913   0.8772   0.2497   0.7149   0.1733   0.0000   0.0000   0.9927   2.4560       KS
 subj13.800   1.1415   3.0793   0.9178   0.7161   0.4238   0.7186   0.0000   0.0000   0.9931   2.0940       KS
 subj14.800   1.6010   0.3979   0.7467   0.2715   0.7159   0.5110   0.9963   0.0000   0.8717   7.6770       KS
 subj15.800   1.4642   0.4140   0.6542   0.1755   0.4413   0.0525   0.1432   0.0000   0.9998   2.5090       KS
 subj16.0   1.2492   0.8361   0.9669   0.2809   0.6154   0.3006   0.0522   0.0000   0.9973   6.3750       KS
 subj16.800   1.3751   0.8348   0.9334   0.3130   0.9052   0.2486   0.8233   0.0000   0.9876   7.0130       KS
 subj17.800   1.2134   1.0276   0.6505   0.2724   0.8164   0.2008   0.7647   0.0000   0.9885   6.5770       KS
 subj18.800   1.3393   0.5575   1.2145   0.0753   0.5733   0.5472   0.4851   0.0000   0.9980   6.0610       KS
 subj2.800   2.1689   0.5554   1.4756   0.4992   0.0000   2.0225   0.9999   0.0000   0.9930   8.3250       KS
 subj3.800   0.6500  -0.3432   0.7104   0.0694   0.4592   0.1155   0.0000   0.0000   0.9904   1.0370       KS
 subj4.800   1.7605   2.1103   0.8374   0.0000   0.5640   0.1671   0.4292   0.0000   0.9998   4.0360       KS
 subj5.800   1.7937  -0.0432   0.5698   0.3004   0.5687   0.1371   0.1097   0.0000   0.9996  14.0000       KS
 subj6.800   1.8786   1.7450   0.6982   0.1483   0.5039   0.2749   0.1265   0.0000   0.9980   9.5350       KS
 subj7.800   1.3762  -0.3327   0.8610   0.4350   0.3902   0.4707   0.6471   0.0000   0.9922   7.1730       KS
 subj8.800   1.5175  -0.0110   1.2209   0.3107   1.2564   0.5288   0.9985   0.0000   0.9989  18.5550       KS
 subj9.800   1.6370   1.4478   0.4081   0.5676   0.4877   0.0376   0.3536   0.0000   0.9791   2.0350       KS
