  dataset        a        v       t0      szr       sv      st0        p  penalty      fit     time   method
 subj10NOlight   2.2165   1.2227   0.6443   0.0000   1.0902   0.0594   0.3228   0.0000   0.9986  16.0950       KS
 subj11NOlight   1.1860   1.1449   0.4963   0.1811   0.9146   0.3513   0.9987   0.0000   0.9539   5.1100       KS
 subj12NOlight   1.0529   1.4444   0.6428   0.0000   1.1657   0.1846   0.9999   0.0000   0.8244   7.5780       KS
 subj13NOlight   1.3833   2.9195   0.5397   0.3399   1.3273   0.2695   0.0570   0.0000   0.9977  10.6880       KS
 subj14NOlight   1.6075   0.8361   0.6584   0.3745   0.8360   0.2019   0.0000   0.0000   1.0000  15.3700       KS
 subj15NOlight   1.9225   1.9892   0.5043   0.0598   0.8970   0.0675   0.1578   0.0000   0.9998  13.1930       KS
 subj16NOlight   1.5193   1.2485   0.6075   0.0000   0.8016   0.3022   0.0000   0.0000   0.9713  12.6990       KS
 subj17NOlight   1.6202   2.5628   0.4843   0.0000   0.9121   0.2388   0.0842   0.0000   0.9995  10.0800       KS
 subj18NOlight   1.7869   1.2467   0.6617   0.1912   0.9841   0.1836   1.0000   0.0000   0.9994  16.7500       KS
 subj1NOlight   0.8416   2.2575   0.5193   0.3200   0.7616   0.1377   0.0000   0.0000   0.9997   3.9770       KS
 subj2NOlight   1.9735   0.2934   1.2274   0.0361   0.4898   1.5091   0.0179   0.0000   0.7672  26.5150       KS
 subj3NOlight   0.7894   0.8587   0.4732   0.2464   0.5903   0.1967   0.2777   0.0000   0.9617   1.7480       KS
 subj4NOlight   1.5151   1.5946   0.7435   0.2402   0.8011   0.2334   0.9594   0.0000   0.9998   9.0090       KS
 subj5NOlight   1.4536   0.7779   0.5039   0.1487   0.6861   0.4340   0.0496   0.0000   0.9540  10.5980       KS
 subj6NOlight   1.8821   2.2484   0.4914   0.2490   0.0879   0.2989   1.0000   0.0000   1.0000   3.3670       KS
 subj7NOlight   1.4731  -0.5306   0.6174   0.0221   1.0676   0.3788   0.9891   0.0000   0.9989  12.9860       KS
 subj8NOlight   1.6660   0.1734   0.6715   0.2135   0.5743   0.3792   0.0000   0.0000   0.9536  11.0640       KS
 subj9NOlight   1.2460   1.5773   0.4314   0.1746   0.5625   0.2840   1.0000   0.0000   0.8782   6.4840       KS
