number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.72601,1,0
2,-1,-99999,-1,0.53579,1,0
3,-1,-99999,-1,0.9298,1,0
4,-1,-99999,-1,0.5316,1,0
5,-1,-99999,-1,0.71776,1,0
6,-1,-99999,-1,0.84975,1,0
7,0,0,0,0.9577,0,2.4548
8,800,-99999,0,0.58167,1,0.75874
9,800,-99999,0,0.9777,0,0.51479
10,-1,0,-1,0.778,1,0
11,-1,-99999,-1,0.73372,1,0
12,-1,0,-1,0.81597,0,0
13,-1,-99999,-1,0.76966,1,0
14,0,-99999,0,0.5656,1,0.8067
15,-1,-99999,-1,0.51557,1,0
16,-1,-99999,-1,0.58962,1,0
17,0,0,45,1.0776,0,0.41468
18,-1,0,-1,0.67791,1,0
19,0,-99999,-45,1.5835,1,1.1047
20,-1,-99999,-1,0.7596,1,0
21,0,-99999,-45,0.64141,1,0.4266
22,800,-99999,45,0.91554,1,0.45263
23,0,0,45,0.7337,0,0.53492
24,0,0,0,1.0634,1,0.87248
25,-1,-99999,-1,0.60955,1,0
26,0,-99999,0,1.1914,1,0.977
27,-1,0,-1,0.65982,1,0
28,-1,0,-1,0.70569,1,0
29,-1,-99999,-1,0.73331,1,0
30,-1,-99999,-1,0.67944,1,0
31,-1,0,-1,0.65371,1,0
32,0,-99999,0,1.0092,1,0.84253
33,-1,-99999,-1,0.52543,1,0
34,0,0,-45,0.68526,1,0.43847
35,-1,-99999,-1,0.44534,1,0
36,-1,-99999,-1,0.51317,1,0
37,-1,-99999,-1,0.93504,0,0
38,-1,0,-1,0.70361,1,0
39,-1,-99999,-1,0.59734,1,0
40,800,-99999,0,0.52737,1,0.79231
41,-1,-99999,-1,0.7853,1,0
42,-1,0,-1,0.61762,1,0
43,-1,-99999,-1,0.53731,1,0
44,0,-99999,45,0.72311,1,0.61241
45,0,-99999,0,0.77112,0,0.53228
46,-1,-99999,-1,0.55916,1,0
47,-1,-99999,-1,0.69529,1,0
48,-1,-99999,-1,0.51327,1,0
49,0,0,0,0.69545,1,0.39276
50,-1,0,-1,0.63567,1,0
51,-1,0,-1,0.58146,1,0
52,-1,0,-1,0.7113,1,0
53,-1,-99999,-1,0.82321,1,0
54,-1,-99999,-1,0.57116,1,0
55,800,-99999,0,0.56115,1,0.72208
56,0,0,-45,0.80936,1,0.53855
57,-1,-99999,-1,0.63516,1,0
58,-1,-99999,-1,0.67109,1,0
59,0,-99999,45,0.54704,0,0.71611
60,0,0,0,0.87104,1,0.60819
61,-1,-99999,-1,0.63904,0,0
62,800,-99999,-45,0.70492,0,0.51416
63,-1,-99999,-1,0.60715,1,0
64,-1,-99999,-1,0.623,1,0
65,-1,0,-1,0.92729,0,0
66,800,-99999,-45,0.63694,1,0.50213
67,800,-99999,45,1.155,1,0.7241
68,-1,-99999,-1,0.74299,1,0
69,-1,0,-1,0.56327,1,0
70,-1,0,-1,0.55318,1,0
71,-1,0,-1,0.76721,1,0
72,-1,0,-1,0.55324,0,0
1,-1,-99999,-1,0.51888,1,0
2,0,-99999,-45,0.49287,1,0.66982
3,-1,-99999,-1,0.45585,1,0
4,-1,0,-1,0.71393,1,0
5,-1,-99999,-1,0.70578,1,0
6,-1,0,-1,0.62012,1,0
7,0,0,-45,0.79371,1,0.59484
8,800,-99999,-45,0.67759,1,0.43884
9,-1,-99999,-1,0.53975,1,0
10,-1,0,-1,0.68807,1,0
11,800,-99999,45,0.65149,1,0.56482
12,-1,-99999,-1,0.62004,1,0
13,-1,-99999,-1,0.5877,1,0
14,-1,0,-1,0.70601,1,0
15,-1,-99999,-1,0.65771,1,0
16,-1,-99999,-1,0.5497,1,0
17,0,-99999,-45,0.67358,1,0.39476
18,800,-99999,0,0.83353,1,0.60268
