number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,0,NaN,0
2,-1,-99999,-1,0.50338,1,0
3,-1,-99999,-1,0.61713,1,0
4,0,-99999,-45,3.9987,NaN,0.64037
5,-1,-99999,-1,1.0307,1,0
6,-1,-99999,-1,0.52316,1,0
7,-1,0,-1,3.9976,NaN,0.99134
8,800,-99999,0,3.9984,NaN,0.767
9,-1,-99999,-1,0.53899,1,0
10,-1,0,-1,0.73526,1,0
11,-1,-99999,-1,0.64561,0,0
12,0,-99999,0,2.0953,1,2.0953
13,-1,0,-1,1.3407,1,1.3407
14,-1,-99999,-1,1.0552,0,0
15,-1,0,-1,1.5223,1,0
16,-1,0,-1,0.85178,1,0
17,-1,-99999,-1,0.72217,1,0
18,-1,-99999,-1,0.97318,1,0
19,-1,0,-1,0.66691,1,0
20,-1,0,-1,0.93814,1,0
21,-1,0,-1,1.0278,1,0
22,-1,-99999,-1,0.70322,1,0
23,-1,-99999,-1,0.78827,1,0
24,800,-99999,45,0.72303,1,1.0121
25,-1,-99999,-1,0.91727,1,0
26,0,0,45,1.82,0,1.82
27,-1,-99999,-1,1.1205,1,0
28,0,0,0,1.6099,0,1.6099
29,800,-99999,0,3.9994,NaN,0.64102
30,-1,-99999,-1,0.91659,1,0
31,-1,-99999,-1,0.93204,1,0
32,-1,-99999,-1,1.1822,1,0
33,0,0,45,1.3403,1,1.3403
34,-1,0,-1,0.85173,1,0
35,-1,-99999,-1,0.86544,0,0
36,-1,-99999,-1,0.70976,1,0
37,-1,-99999,-1,0.71398,1,0
38,-1,-99999,-1,1.2295,1,0
39,-1,-99999,-1,0.95724,1,0
40,0,0,0,1.1022,0,1.1022
41,-1,-99999,-1,0.75362,0,0
42,800,-99999,45,1.4476,1,1.4476
43,-1,-99999,-1,1.0552,1,0
44,-1,-99999,-1,0.72253,1,0
45,-1,-99999,-1,3.9985,NaN,0.77462
46,0,0,0,0.89972,1,1.2768
47,800,-99999,-45,1.9831,1,1.9831
48,-1,-99999,-1,0.77201,1,0
49,-1,-99999,-1,0.86184,1,0
50,0,-99999,0,1.5118,1,1.5118
51,-1,0,-1,1.1115,0,0
52,0,0,-45,0.77463,0,1.0157
53,-1,0,-1,1.5628,1,0
54,-1,0,-1,0.9765,1,0
55,-1,-99999,-1,1.7492,1,0
