number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,800,-99999,0,3.6233,0,1.6964
2,0,0,0,2.5515,0,0.79217
3,-1,-99999,-1,2.7225,0,0
4,-1,-99999,-1,2.0243,1,0
5,-1,-99999,-1,1.4609,1,0
6,0,-99999,0,2.5481,0,1.0531
7,0,0,0,1.7806,0,0.8378
8,-1,-99999,-1,3.5576,0,0
9,-1,-99999,-1,1.8186,1,0
10,800,-99999,45,2.6396,1,0.85653
11,-1,-99999,-1,1.8665,0,0
12,-1,0,-1,0,NaN,0
13,-1,-99999,-1,1.6666,1,0
14,-1,-99999,-1,2.6256,1,0
15,800,-99999,0,2.1598,0,0.88898
16,-1,0,-1,2.267,1,0
17,-1,-99999,-1,1.5743,1,0
18,-1,0,-1,1.5998,0,0
19,-1,-99999,-1,1.1474,1,0
20,-1,0,-1,1.6157,1,0
21,0,-99999,-45,0.75025,1,1.8718
22,-1,-99999,-1,2.9156,1,0
23,-1,-99999,-1,1.0238,1,0
24,-1,-99999,-1,2.0362,0,0
25,-1,0,-1,2.4761,1,0
26,-1,-99999,-1,2.0025,1,0
27,-1,-99999,-1,2.0716,1,0
28,-1,-99999,-1,2.3266,1,0
29,0,0,-45,1.7751,1,1.4162
30,-1,-99999,-1,1.9148,1,0
31,800,-99999,45,2.3304,1,1.0435
32,0,0,0,2.7445,1,1.0976
33,-1,-99999,-1,1.8624,1,0
34,-1,-99999,-1,0.90896,1,0
35,-1,0,-1,1.4302,1,0
36,-1,0,-1,1.1483,1,0
37,800,-99999,0,1.7843,0,0.77737
38,-1,-99999,-1,3.7609,1,0
39,0,-99999,45,2.3888,1,0.694
40,0,0,45,2.1564,0,0.5657
41,0,-99999,-45,2.5309,0,1.0521
42,-1,0,-1,1.5378,1,0
43,-1,0,-1,3.1566,1,0
44,0,0,-45,2.5123,0,1.0094
45,-1,0,-1,1.3254,1,0
46,800,-99999,0,1.924,0,0.86102
47,-1,-99999,-1,1.0399,1,0
48,-1,-99999,-1,1.0586,1,0
49,0,-99999,0,1.684,1,1.2131
50,-1,0,-1,1.3291,0,0.74634
51,-1,-99999,-1,2.5158,0,0
52,-1,0,-1,1.345,1,0
53,-1,-99999,-1,0.98627,1,0
54,0,0,0,1.7781,1,0.9952
55,0,0,45,3.146,1,2.099
56,-1,-99999,-1,1.2388,1,0
57,-1,-99999,-1,1.5402,1,0
58,-1,-99999,-1,1.22,1,0
59,0,-99999,0,1.8476,0,0.88058
60,-1,0,-1,1.2745,1,0
61,0,-99999,0,2.0455,1,1.0626
62,-1,0,-1,1.8928,0,0
63,800,-99999,-45,1.9901,1,0.87912
